"%1 already has an active account.","%1 already has an active account."
"%name,","%name,"
"-- Please Select --","-- Please Select --"
"A password reset link has been sent to %1.","A password reset link has been sent to %1."
"A user with the same user name or e-mail address already exists.","A user with the same user name or e-mail address already exists."
"Account Access","Account Access"
"Administrator Invitations","Administrator Invitations"
"After this time the link stops working and the invitation has to be sent again. Password reset links use ""Recovery Link Expiration Period"" from Advanced > Admin > Security.","After this time the link stops working and the invitation has to be sent again. Password reset links use ""Recovery Link Expiration Period"" from Advanced > Admin > Security."
"An administrator has sent you a link to set a new password for the %store_name administration panel. Choose it yourself; nobody else sees it.","An administrator has sent you a link to set a new password for the %store_name administration panel. Choose it yourself; nobody else sees it."
"An administrator with the e-mail address %1 already exists.","An administrator with the e-mail address %1 already exists."
"An entropy estimate of the password, the same as Symfony's PasswordStrength constraint. Length alone lets ""aaaaaaaaaaaa"" through; this does not.","An entropy estimate of the password, the same as Symfony's PasswordStrength constraint. Length alone lets ""aaaaaaaaaaaa"" through; this does not."
"Apply to All Administrator Password Changes","Apply to All Administrator Password Changes"
"Asks the haveibeenpwned.com API with the first five characters of the password's SHA-1 hash; the password itself never leaves the server. If the API cannot be reached, the password is accepted.","Asks the haveibeenpwned.com API with the first five characters of the password's SHA-1 hash; the password itself never leaves the server. If the API cannot be reached, the password is accepted."
"At least %1 characters and hard to guess: mix upper and lower case letters, digits and symbols.","At least %1 characters and hard to guess: mix upper and lower case letters, digits and symbols."
"At least 8. Magento's own rule (7 characters, letters and digits) still applies on top.","At least 8. Magento's own rule (7 characters, letters and digits) still applies on top."
"Back to Sign in","Back to Sign in"
"Back to your details","Back to your details"
"Calmfox","Calmfox"
"Cancel","Cancel"
"Confirm Password","Confirm Password"
"Continue","Continue"
"E-mail address","E-mail address"
"E-mails","E-mails"
"First Name","First Name"
"Generate a secure password","Generate a secure password"
"Generated Password Length","Generated Password Length"
"Generated password","Generated password"
"Hello,","Hello,"
"If you did not expect this e-mail, you can ignore it — your current password keeps working.","If you did not expect this e-mail, you can ignore it — your current password keeps working."
"If you were not expecting this e-mail, you can ignore it.","If you were not expecting this e-mail, you can ignore it."
"Interface Locale","Interface Locale"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invitation Link Validity (days)","Invitation Link Validity (days)"
"Invitation Template","Invitation Template"
"Invitations","Invitations"
"Invite Administrator","Invite Administrator"
"Last Name","Last Name"
"Length of the password the ""Generate a secure password"" button suggests (12 to 64).","Length of the password the ""Generate a secure password"" button suggests (12 to 64)."
"Medium","Medium"
"Minimum Length","Minimum Length"
"Minimum Strength","Minimum Strength"
"Password","Password"
"Password Policy","Password Policy"
"Password Reset Link Template","Password Reset Link Template"
"Please choose a role for the new administrator.","Please choose a role for the new administrator."
"Please enter a password.","Please enter a password."
"Please enter a user name.","Please enter a user name."
"Please enter a valid e-mail address.","Please enter a valid e-mail address."
