"%1 already has an active account.","%1 ma już aktywne konto."
"%name,","%name,"
"-- Please Select --","-- Wybierz --"
"A password reset link has been sent to %1.","Link do ustawienia nowego hasła został wysłany na %1."
"A user with the same user name or e-mail address already exists.","Użytkownik o takiej nazwie lub takim adresie e-mail już istnieje."
"Account Access","Dostęp do konta"
"Administrator Invitations","Zaproszenia administratorów"
"After this time the link stops working and the invitation has to be sent again. Password reset links use ""Recovery Link Expiration Period"" from Advanced > Admin > Security.","Po tym czasie link przestaje działać i zaproszenie trzeba wysłać ponownie. Linki do resetu hasła korzystają z ustawienia „Recovery Link Expiration Period” w Advanced > Admin > Security."
"An administrator has sent you a link to set a new password for the %store_name administration panel. Choose it yourself; nobody else sees it.","Administrator wysłał Ci link do ustawienia nowego hasła w panelu administracyjnym %store_name. Wybierz je samodzielnie; nikt inny go nie zobaczy."
"An administrator with the e-mail address %1 already exists.","Administrator o adresie %1 już istnieje."
"An entropy estimate of the password, the same as Symfony's PasswordStrength constraint. Length alone lets ""aaaaaaaaaaaa"" through; this does not.","Oszacowanie entropii hasła, takie samo jak w ograniczeniu PasswordStrength z Symfony. Sama długość przepuszcza „aaaaaaaaaaaa”, to ustawienie nie."
"Apply to All Administrator Password Changes","Stosuj przy każdej zmianie hasła administratora"
"Asks the haveibeenpwned.com API with the first five characters of the password's SHA-1 hash; the password itself never leaves the server. If the API cannot be reached, the password is accepted.","Pyta API haveibeenpwned.com pierwszymi pięcioma znakami skrótu SHA-1 hasła; samo hasło nigdy nie opuszcza serwera. Gdy API jest nieosiągalne, hasło zostaje przyjęte."
"At least %1 characters and hard to guess: mix upper and lower case letters, digits and symbols.","Co najmniej %1 znaków i trudne do odgadnięcia: mieszaj wielkie i małe litery, cyfry i znaki specjalne."
"At least 8. Magento's own rule (7 characters, letters and digits) still applies on top.","Co najmniej 8. Własna reguła Magento (7 znaków, litery i cyfry) obowiązuje dodatkowo."
"Back to Sign in","Wróć do logowania"
"Back to your details","Wróć do swoich danych"
"Calmfox","Calmfox"
"Cancel","Anuluj"
"Confirm Password","Powtórz hasło"
"Continue","Dalej"
"E-mail address","Adres e-mail"
"E-mails","Wiadomości e-mail"
"First Name","Imię"
"Generate a secure password","Wygeneruj bezpieczne hasło"
"Generated Password Length","Długość generowanego hasła"
"Generated password","Wygenerowane hasło"
"Hello,","Witaj,"
"If you did not expect this e-mail, you can ignore it — your current password keeps working.","Jeśli nie spodziewasz się tej wiadomości, zignoruj ją — dotychczasowe hasło nadal działa."
"If you were not expecting this e-mail, you can ignore it.","Jeśli nie spodziewasz się tej wiadomości, zignoruj ją."
"Interface Locale","Język panelu"
"Invalid Form Key. Please refresh the page.","Nieprawidłowy klucz formularza. Odśwież stronę."
"Invitation Link Validity (days)","Ważność linku z zaproszenia (dni)"
"Invitation Template","Szablon zaproszenia"
"Invitations","Zaproszenia"
"Invite Administrator","Zaproś administratora"
"Last Name","Nazwisko"
"Length of the password the ""Generate a secure password"" button suggests (12 to 64).","Długość hasła proponowanego przyciskiem „Wygeneruj bezpieczne hasło” (od 12 do 64)."
"Medium","Średnia"
"Minimum Length","Minimalna długość"
"Minimum Strength","Minimalna siła"
"Password","Hasło"
"Password Policy","Wymagania wobec hasła"
"Password Reset Link Template","Szablon linku do resetu hasła"
"Please choose a role for the new administrator.","Wybierz rolę dla nowego administratora."
"Please enter a password.","Podaj hasło."
"Please enter a user name.","Podaj nazwę użytkownika."
"Please enter a valid e-mail address.","Podaj poprawny adres e-mail."
"Please enter your first name.","Podaj imię."
"Please enter your last name.","Podaj nazwisko."
"Reject Passwords Found in Data Breaches","Odrzucaj hasła z wycieków danych"
"Save and sign in","Zapisz i zaloguj się"
"Save it in your password manager before you continue.","Zapisz je w menedżerze haseł, zanim przejdziesz dalej."
"Send Invitation","Wyślij zaproszenie"
"Send a password reset link","Wyślij link do resetu hasła"
"Send a password reset link to %1?","Wysłać link do resetu hasła na %1?"
"Send the invitation again","Wyślij zaproszenie ponownie"
"Send the invitation to %1 again?","Wysłać ponownie zaproszenie na %1?"
"Send this administrator an e-mail with a link to set a new password themselves. Their current password keeps working until they use it.","Wyślij temu administratorowi wiadomość z linkiem, pod którym samodzielnie ustawi nowe hasło. Do tego czasu działa dotychczasowe hasło."
